Devices
2000
,,pelvis - accel,,,pelvis - gyro,,,pelvis - mag,,,pelvis - Global Angle,,,pelvis - HighG,,,tibia - accel,,,tibia - gyro,,,tibia - mag,,,tibia - Global Angle,,,tibia - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
3,11,9632.42,-1959.99,-194.994,1.21694,0.684029,-0.736117,1.991e-05,-2.01782e-05,-1.57373e-05,0,0,0,0,0,0,9064.85,-1152.82,3551.64,1.34097,1.02188,-0.119819,0,0,0,0,0,0,0,0,0
3,12,9620.95,-1963,-205.828,1.24437,0.621932,-0.665487,2.00049e-05,-2.01868e-05,-1.57028e-05,0,0,0,0,0,0,9058.94,-1154.07,3546.28,1.43757,0.997227,-0.0614455,0,0,0,0,0,0,0,0,0
3,13,9593.42,-1954.4,-221.089,1.21665,0.592685,-0.476989,2.00997e-05,-2.01954e-05,-1.56683e-05,0,0,0,0,0,0,9059.87,-1156.1,3535.61,1.45775,0.858615,0.0425136,0,0,0,0,0,0,0,0,0
3,14,9595.37,-1946.14,-220.1,1.17967,0.685233,-0.41272,2.01945e-05,-2.0204e-05,-1.56338e-05,0,0,0,0,0,0,9063.82,-1141.03,3533.81,1.44475,0.818657,0.0872806,0,0,0,0,0,0,0,0,0
3,15,9612.05,-1938.05,-210.986,1.13806,0.838679,-0.410566,2.02893e-05,-2.02127e-05,-1.55993e-05,0,0,0,0,0,0,9069.29,-1117.41,3536.44,1.41515,0.828025,0.102451,0,0,0,0,0,0,0,0,0
3,16,9618.38,-1926.76,-203.653,1.2374,0.910139,-0.467441,2.03841e-05,-2.02213e-05,-1.55649e-05,0,0,0,0,0,0,9073.5,-1092.07,3563.94,1.37715,0.825631,0.0924081,0,0,0,0,0,0,0,0,0
3,17,9621.25,-1916.56,-197.526,1.35141,0.961472,-0.530808,2.04789e-05,-2.02299e-05,-1.55304e-05,0,0,0,0,0,0,9077.3,-1071.21,3591.57,1.34072,0.820589,0.0853605,0,0,0,0,0,0,0,0,0
3,18,9606.91,-1918.3,-199.259,1.44188,0.933769,-0.587089,2.05738e-05,-2.02385e-05,-1.54959e-05,0,0,0,0,0,0,9079.07,-1087.85,3595.42,1.32527,0.806127,0.127493,0,0,0,0,0,0,0,0,0
3,19,9591.85,-1925.65,-203.741,1.49193,0.878706,-0.618711,2.0629e-05,-2.0231e-05,-1.5492e-05,0,0,0,0,0,0,9085.13,-1107.19,3590.33,1.34551,0.853087,0.128245,0,0,0,0,0,0,0,0,0
4,0,9575.34,-1944.24,-213.719,1.46112,0.768923,-0.601016,2.06051e-05,-2.0191e-05,-1.55493e-05,0,0,0,0,0,0,9099.78,-1131.91,3567.34,1.43714,1.02289,0.046234,0,0,0,0,0,0,0,0,0
4,1,9570.71,-1951.42,-192.602,1.42108,0.660556,-0.579411,2.05418e-05,-2.01349e-05,-1.5637e-05,0,0,0,0,0,0,9121.64,-1136.71,3535.79,1.51415,1.04464,0.0223068,0,0,0,0,0,0,0,0,0
4,2,9575.57,-1949.47,-146.609,1.37365,0.553323,-0.554677,2.0447e-05,-2.0066e-05,-1.57491e-05,0,0,0,0,0,0,9149.28,-1125.59,3497.41,1.57945,0.947952,0.0448465,0,0,0,0,0,0,0,0,0
4,3,9586.63,-1939.05,-140.844,1.28114,0.566106,-0.512716,2.03521e-05,-1.9997e-05,-1.58611e-05,0,0,0,0,0,0,9134.35,-1123.18,3494.75,1.53731,0.790331,0.0452976,0,0,0,0,0,0,0,0,0
4,4,9599.46,-1926.22,-146.573,1.17575,0.613179,-0.465834,2.02573e-05,-1.99281e-05,-1.59732e-05,0,0,0,0,0,0,9107.25,-1123.27,3502.31,1.46448,0.615302,0.0394377,0,0,0,0,0,0,0,0,0
4,5,9589.6,-1911.42,-149.704,1.20477,0.694194,-0.468252,2.01625e-05,-1.98591e-05,-1.60852e-05,0,0,0,0,0,0,9098.85,-1144.75,3542.91,1.38061,0.627653,-0.0689435,0,0,0,0,0,0,0,0,0
4,6,9577.64,-1900.15,-152.383,1.22856,0.739556,-0.477925,2.00677e-05,-1.97901e-05,-1.61973e-05,0,0,0,0,0,0,9096.31,-1157.84,3571.51,1.31868,0.664361,-0.103732,0,0,0,0,0,0,0,0,0
4,7,9558.38,-1901.24,-153.476,1.23405,0.660135,-0.512991,1.99729e-05,-1.97212e-05,-1.63094e-05,0,0,0,0,0,0,9114.32,-1141.56,3558.13,1.33355,0.786317,0.119055,0,0,0,0,0,0,0,0,0
4,8,9545.38,-1923.42,-155.067,1.25575,0.644936,-0.593688,1.9878e-05,-1.96522e-05,-1.64214e-05,0,0,0,0,0,0,9120.7,-1135.61,3553.2,1.34125,0.900369,0.288182,0,0,0,0,0,0,0,0,0
